GRIN Accession	Protein	GRIN Link
PI153226	38.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136638	
PI153227	36.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136639	
PI153229	38.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136640	
PI153230	43.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136641	
PI153231	42	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136642	
PI153233	40.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136644	
PI153234	47	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136645	
PI153235	43.8;44.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136646	
PI153236	39	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136647	
PI153237	42.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136648	
PI153238	38.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136649	
PI153239	40.0;44.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136650	
PI153240	39.5;41.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136651	
PI153241	41	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136652	
PI153242	36.6;47.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136653	
PI153243	40.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136654	
PI153244	37.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136655	
PI153245	40.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136656	
PI153246	42.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136657	
PI153247	39.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136658	
PI153249	41.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136659	
PI153250	37.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136660	
PI153251	41.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136661	
PI153252	40.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136662	
PI153253	38.4;40.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136663	
PI153255	36.9;44.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136665	
PI153259	41.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136669	
PI153261	41.6;43.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136671	
PI153262	39.8;43.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136672	
PI153263	39.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136673	
PI153264	37.5;41.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136674	
