GRIN Accession	Protein	GRIN Link
PI567583A	47.2;48.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500950	
PI567583B	47.5;47.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500951	
PI567583C	45.8;47.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500952	
PI567583D	47.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500953	
PI567584	49.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462555	
PI567585A	50.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500954	
PI567585B	44.8;46.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500955	
PI567586A	50.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500956	
PI567586B	50.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500957	
PI567587A	45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500958	
PI567587B	49.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500959	
PI567588A	48.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500960	
PI567588B	46.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500961	
PI567589	48.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462560	
PI567590A	45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500962	
PI567590B	46.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500963	
PI567591	46.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462562	
PI567592	43.2;46.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462563	
PI567593A	47.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500964	
PI567593B	47	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500965	
PI567594A	45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500966	
PI567594B	49.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500967	
PI567595A	48.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500968	
PI567595B	48.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500969	
PI567596	46.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462567	
PI567597A	46.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500970	
PI567597B	47.2;49.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500971	
PI567597C	49.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500972	
PI567598A	43.3;43.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500973	
PI567598B	48.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500974	
PI567599	49	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462570	
PI567600	49.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462571	
PI567601	45.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462572	
PI567602A	47.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500975	
PI567602B	48	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500976	
PI567602C	47.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500977	
PI567602D	47.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500978	
PI567603A	51.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500979	
PI567603B	45.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500980	
PI567604A	43.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500981	
PI567604B	45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500982	
PI567605	48.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462576	
PI567606	46.5;47.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462577	
PI567607A	44.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500983	
PI567607B	45.3;45.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500984	
PI567608	46.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462579	
PI567609	47.0;47.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462580	
PI567610A	48.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500985	
PI567610B	50.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500986	
PI567611	48.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462582	
PI567612	46.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462583	
PI567613	43.6;44.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462584	
PI567614A	52.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500987	
PI567614B	53.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500988	
PI567614C	46.8;50.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500989	
PI567614D	47.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500990	
PI567615	46.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462586	
PI567616	46.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462587	
PI567617A	49.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500991	
PI567617B	51.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500992	
PI567617C	48	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500993	
PI567618A	45.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500994	
PI567618B	51.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500995	
PI567619	49.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462590	
PI567620A	47.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500996	
PI567620B	45.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500997	
PI567621A	46.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500998	
PI567621B	45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1500999	
PI567622	48.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462593	
PI567623	44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462594	
PI567624	41.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462595	
PI567625	45.3;45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462596	
PI567626	43.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462597	
PI567627A	45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501000	
PI567627B	42.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501001	
PI567627C	46.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501002	
PI567628A	46.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501003	
PI567628B	47.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501004	
PI567629A	44.6;47.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501005	
PI567629B	44.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501006	
PI567630A	49.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501007	
PI567630B	46.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501008	
PI567631	47.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462602	
PI567632A	48.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501009	
PI567632B	50.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501010	
PI567633	45.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462604	
PI567634	43.0;43.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462605	
PI567635	45.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462606	
PI567636	46.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462607	
PI567637	45.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462608	
PI567638	47.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462609	
PI567639	46.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462610	
PI567640	44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462611	
PI567641	51.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462612	
PI567642A	51	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501011	
PI567642B	45.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501012	
PI567642C	43.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501013	
PI567643	45.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462614	
PI567644	55.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462615	
PI567645A	49.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501014	
PI567645B	45.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501015	
PI567646A	47.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501016	
PI567646B	45.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501017	
PI567647A	50.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501018	
PI567647B	46.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501019	
PI567648A	47.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501020	
PI567648B	45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501021	
PI567648C	46.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501022	
PI567649	50.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462620	
PI567650A	45.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501023	
PI567650B	45.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501024	
PI567650C	41.1;42.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501025	
PI567650D	40.0;42.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501026	
PI567651	48.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462622	
PI567652	48.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462623	
PI567653	47.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462624	
PI567654	47.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462625	
PI567655	49.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462626	
PI567656	45.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462627	
PI567657	42.8;43.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462628	
PI567658	46.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462629	
PI567659	41.2;47.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462630	
PI567660A	44.0;44.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501027	
PI567660B	40.7;43.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501028	
PI567661A	44.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501029	
PI567661B	43.1;45.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501030	
PI567662	47.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462633	
PI567663	46.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462634	
PI567664	47.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462635	
PI567665	48	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462636	
PI567666	48.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462637	
PI567667A	45.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501031	
PI567667B	46.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501032	
PI567667C	42.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501033	
PI567668	46.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462639	
PI567669	50.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462640	
PI567670	45.8;46.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462641	
PI567671A	48.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501034	
PI567671B	50.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501035	
PI567671C	42.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501036	
PI567672	46.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462643	
PI567673A	44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501037	
PI567673B	46.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501038	
PI567674	49	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462645	
PI567675	44.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462646	
PI567676A	46.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501039	
PI567676B	46.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501040	
PI567677	46.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462648	
PI567678	45.4;49.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462649	
PI567679A	50.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501041	
PI567679B	42.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501042	
PI567679C	49.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501043	
PI567680	42.1;46.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462651	
PI567681	45.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462652	
PI567682A	44.4;44.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501044	
PI567682B	44.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501045	
PI567683A	47.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501046	
PI567683B	41.2;42.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501679	
PI567684A	41.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501047	
PI567684B	42.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501048	
PI567685		https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462656	
PI567686	45.8;49.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462657	
PI567687	49.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462658	
PI567688A	49.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501049	
PI567688B	45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501050	
PI567689	51.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462660	
PI567690	49.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462661	
PI567691	47.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462662	
PI567692	50.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462663	
PI567693	49.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462664	
PI567694	48.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462665	
PI567695	49.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462666	
PI567696A	49.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501051	
PI567696B	46.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501052	
PI567696C	50.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501053	
PI567697	48.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462668	
PI567698A	49.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501054	
PI567698B	48.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501055	
PI567699	50.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462670	
PI567700	49	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462671	
PI567701	46.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462672	
PI567702A	50.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501056	
PI567702B	51.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501057	
PI567703	49.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462674	
PI567704	49.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462675	
PI567705	48.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462676	
PI567706A	47.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501058	
PI567706B	47.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501059	
PI567707	46.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462678	
PI567708	47.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462679	
PI567709	51.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462680	
PI567710	53.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462681	
PI567711A	50.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501060	
PI567711B	51.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501061	
PI567712	49.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462683	
PI567713A	45.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501062	
PI567713B	45.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501063	
PI567713C	48.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501064	
PI567713D	47.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501065	
PI567713E	45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501066	
PI567714	48.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462685	
PI567715	48.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462686	
PI567716A	47.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501067	
PI567716B	47.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501068	
PI567717A	46.7;49.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501069	
PI567717B	47.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501070	
PI567717C	50.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501071	
PI567718	45.3;47.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462689	
PI567719	46.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462690	
PI567720A	45.7;49.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501072	
PI567720B	48.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501073	
PI567721	42.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462692	
PI567722	50.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462693	
PI567723	46.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462694	
PI567724	47.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462695	
PI567725	48.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462696	
PI567726	42.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462697	
PI567727A	48.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501076	
PI567727B	49.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501077	
PI567728	48.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462699	
PI567729	45.4;49.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462700	
PI567730	50	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462701	
PI567731	47.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462702	
PI567732	47.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462703	
PI567733	46.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462704	
PI567734	46.0;52.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462705	
PI567735	46	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462706	
PI567736	46.6;46.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462707	
PI567737	42.8;45.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462708	
PI567738A	45.6;46.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501325	
PI567738B	43.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501078	
PI567739A	45.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501079	
PI567739B	46.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501080	
PI567740	46.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462711	
PI567741	44.0;44.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462712	
PI567742A	44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501081	
PI567742B	41.7;43.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501082	
PI567743	48.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462714	
PI567744A	47.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501083	
PI567744B	46.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501084	
PI567744C	45.9;46.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501085	
PI567745	40.8;43.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462716	
PI567746	46.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462717	
PI567747	45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462718	
PI567748	46.2;46.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462719	
PI567749A	46.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501086	
PI567749B	44.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501087	
PI567750	43.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462721	
PI567751A	45	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501088	
PI567751B	45.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501089	
PI567751C	47.5;48.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501090	
PI567752	46.9;48.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462723	
PI567753A	43.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501091	
PI567753B	44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501092	
PI567753C	44.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501093	
PI567754	44.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462725	
PI567755A	46	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501094	
PI567755B	44.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501095	
PI567755C	44.1;45.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501096	
PI567756A		https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=	
PI567756B		https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=	
PI567756	47.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462727	
PI567757	39.8;42.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462728	
PI567758	43.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462729	
PI567759	43.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462730	
PI567760	45.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462731	
PI567761	46.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462732	
PI567762A	43.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501099	
PI567762B	43.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501100	
PI567762C	45	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501101	
PI567763	44.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462734	
PI567764	44.4;44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1462735	
PI567765A	49.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1501102	
