Yen_Soy1066_format	Nick_Soy775_AccuTool_format	GRIN_Soybase_format	Name	Note	
HN074	HN074_PI561271	PI561271	Pei xian da quing dou		
HN075	HN075_PI567230	PI567230	WJK-PRC-23		
HN076	HN076_PI567336B	PI567336B	(Lao hei dou)		
HN078	HN078_PI567354	PI567354	You huang dou		
HN079	HN079_PI567357	PI567357	Du jia qiao huang dou		
HN081	HN081_PI567519	PI567519	Bai hua chi		
HN082	HN082_PI567611	PI567611	Ba yue zha		
HN083	HN083_PI567651	PI567651	Shang cai er cao ping ding shi		
HN084	HN084_PI567690	PI567690	Fu yang (7)		
HN085	HN085_PI567719	PI567719	Fu yang (43)		
HN086	HN086_PI567731	PI567731	Fu yang (56)		
HN087	HN087_PI591539	PI591539	L91-8558		
HN088	HN088_PI593258	PI593258	Macon		
HN089	HN089_PI594012	PI594012	Heuksatangdu		
HN090	HN090_PI594512A	PI594512A	Bian zi jiang se dou		
HN091	HN091_PI594599	PI594599	Chang de chun hei dou		
HN092	HN092_PI597387	PI597387	Pana		
HN093	HN093_PI603154	PI603154	GL 2622 /96		
HN094	HN094_PI603170	PI603170	GL 2683 /96		
HN095	HN095_PI603175	PI603175	GL 2688 /96		
HN096	HN096_PI603176A	PI603176A			
HN098	HN098_PI605869A	PI605869A	Sample 140		
HN099	HN099_PI639740	PI639740	LD00-3309		
HN100	HN100_PI647086	PI647086	N8001		
HN101	HN101_PI658519	PI658519	LD00-2817P		
HN102	HN102_S07-5049	S07-5049			
HN103	HN103_V71-370	V71-370			
HN104	HN104_FC031721	FC31721			
HN105	HN105_PI438471	PI438471	Fiskeby III		
HN106	HN106_PI417091	PI417091	Kuro mame		
HN107	HN107_PI417015	PI417015	Kawanagare (Iwate)		
HN108	HN108_PI229343	PI229343			
SJ-01	SJ-01_PI378684A	PI378684A			
SJ-02	SJ-02_PI378696A	PI378696A			
SJ-03	SJ-03_PI378698	PI378698			
SJ-04	SJ-04_PI407083	PI407083	RB 1072		
SJ-05	SJ-05_PI407270	PI407270	K45-B		
SJ-06	SJ-06_PI407281	PI407281	K103-C		
SJ-07	SJ-07_PI407286	PI407286	Tsuru Mame		
SJ-08	SJ-08_PI407303	PI407303			
SJ-09	SJ-09_PI407307	PI407307			
SJ-10	SJ-10_PI407308	PI407308			
SJ-11	SJ-11_PI407315	PI407315			
SJ-12	SJ-12_PI424008A	PI424008A	74006		
SJ-13	SJ-13_PI468918	PI468918			
SJ-14	SJ-14_PI507609	PI507609	NIAR 040023		
SJ-15	SJ-15_PI507619B	PI507619B	NIAR 040016		
SJ-16	SJ-16_PI507667	PI507667	NIAR 090024		
SJ-17	SJ-17_PI507752	PI507752	VIR 8448		
SJ-18	SJ-18_PI507830B	PI507830B	VIR 9044		
SJ-19	SJ-19_PI532450	PI532450	GD50344		
SJ-20	SJ-20_PI549047	PI549047	Mrs. Wong's Picnic #1		
SJ-21	SJ-21_PI549048	PI549048			
SJ-22	SJ-22_PI562558	PI562558	KE12		
SJ-23	SJ-23_PI562568	PI562568	KF24		
SJ-24	SJ-24_PI597458B	PI597458B			
SJ-26	SJ-26_PI597471D	PI597471D	(Zheye 29)		
SJ-27	SJ-27_PI639586	PI639586	KB 14		
SJ-28	SJ-28_PI639590A	PI639590A	KZ 659		
SJ-29	SJ-29_PI639590B	PI639590B	(KZ 659)		
SJ-30	SJ-30_PI639621	PI639621	KT 156		
SJ-31	SJ-31_PI507847	PI507847	L 598		
SJ-32	SJ-32_PI424014	PI424014	74012		
SJ-33	SJ-33_PI424107A	PI424107A	74106		
SJ-34	SJ-34_PI407175	PI407175	K4-B		
SJ-36	SJ-36_PI507615	PI507615	NIAR 040012		
SJ-37	SJ-37_PI562557	PI562557	KE10		
SJ-38	SJ-38_PI378699A	PI378699A			
SJ-39	SJ-39_PI407262	PI407262	K42-A		
SJ-40	SJ-40_PI562534	PI562534	KA5		
SJ-41	SJ-41_PI407183	PI407183	K8-B		
SJ-42	SJ-42_PI407038	PI407038	RB 1072		
SJ-43	SJ-43_PI407318A	PI407318A			
SJ-44	SJ-44_PI407229	PI407229	K47-A		
SJ-45	SJ-45_PI507638	PI507638	NIAR 060010		
SRR1533152	ZJ-Y314	ZJ-Y314	UN1		
SRR1533153	PI_578357	PI578357	PI578357		
SRR1533154	PI_366120	PI366120	PI366120		
SRR1533155	PI_562565	PI562565	PI562565		
SRR1533156	PI_339871A	PI339871A	PI339871A		
SRR1533157	PI_393551	PI393551	PI393551		
SRR1533158	ZJ-Y108	ZJ-Y108	UN15		
SRR1533159	ZJ-Y2300-1	ZJ-Y2300-1	UN16		
SRR1533161	PI_593983	PI593983	PI593983		
SRR1533162	PI_407027	PI407027	PI407027		
SRR1533163	PI_562559	PI562559	PI562559		
SRR1533164	PI_597459C	PI597459C	PI597459C		
SRR1533165	ZJ-Y155	ZJ-Y155	UN26		
SRR1533166	PI_447004	PI447004	PI447004		
SRR1533167	PI_423991	PI423991	PI423991		
SRR1533168	PI_407170	PI407170	PI407170		
SRR1533169	PI_407131	PI407131	PI407131		
SRR1533170	PI_597461C	PI597461C	PI597461C		
SRR1533171	ZJ-Y188	ZJ-Y188	UN39		
SRR1533172	PI_479752	PI479752	PI479752		
SRR1533173	PI_468916	PI468916	PI468916		
SRR1533174	PI_366123	PI366123	PI366123		
SRR1533175	PI_458536	PI458536	PI458536		
SRR1533176	PI_407197	PI407197	PI407197		
SRR1533177	ZJ-Y191	ZJ-Y191	UN45		
SRR1533178	PI_522182B	PI522182B	PI522182B		
SRR1533179	PI_483460B	PI483460B	PI483460B		
SRR1533180	PI_378692	PI378692	PI378692		
SRR1533181	PI_464929A	PI464929A	PI464929A		
SRR1533182	PI_407246	PI407246	PI407246		
SRR1533183	PI_464935	PI464935	PI464935		
SRR1533184	ZJ-Y200	ZJ-Y200	UN55		
SRR1533185	PI_522228	PI522228	PI522228		
SRR1533186	PI_483464A	PI483464A	PI483464A		
SRR1533187	PI_407275	PI407275	PI407275		
SRR1533188	PI_464929B	PI464929B	PI464929B		
SRR1533189	PI_407301	PI407301	PI407301		
SRR1533190	PI_326582A	PI326582A	PI326582A		
SRR1533191	PI_522216	PI522216	PI522216		
SRR1533192	PI_468400A	PI468400A	PI468400A		
SRR1533193	PI_479769	PI479769	PI479769		
SRR1533194	PI_424096	PI424096	PI424096		
SRR1533195	ZJ-Y217	ZJ-Y217	UN80		
SRR1533196	PI_504286	PI504286	PI504286		
SRR1533197	PI_458538	PI458538	PI458538		
SRR1533198	PI_458535	PI458535	PI458535		
SRR1533199	PI_407285	PI407285	PI407285		
SRR1533200	ZJ-ZY020	ZJ-ZY020	UN91		
SRR1533201	ZJ-Y282	ZJ-Y282	UN92		
SRR1533202	PI_407288	PI407288	PI407288		
SRR1533203	PI_578341	PI578341	PI578341		
